epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,6942.61,0.92147,0.87996,1.25455,0.84856,0.80484,0.85458,0.63483,0.99462,0.79276,1.37117,0.000371375,0.000371375,0.000371375
73,7038.16,0.92157,0.87752,1.25282,0.84447,0.81451,0.85303,0.63554,0.97553,0.76456,1.36131,0.000359,0.000359,0.000359
74,7130.76,0.91323,0.87887,1.2525,0.87539,0.76297,0.84903,0.63443,0.98612,0.77087,1.37556,0.000346625,0.000346625,0.000346625
75,7225.79,0.90462,0.86769,1.24318,0.87156,0.80519,0.85771,0.63727,0.98477,0.76546,1.36999,0.00033425,0.00033425,0.00033425
76,7320.11,0.90565,0.86278,1.2474,0.86963,0.79038,0.85392,0.63612,0.98905,0.74402,1.37245,0.000321875,0.000321875,0.000321875
77,7414.09,0.90502,0.85889,1.24669,0.87567,0.77984,0.85048,0.63832,1.01505,0.7589,1.38454,0.0003095,0.0003095,0.0003095
78,7507.03,0.90249,0.857,1.24027,0.87228,0.79026,0.85548,0.63449,0.99113,0.76855,1.36844,0.000297125,0.000297125,0.000297125
79,7601.7,0.89776,0.85517,1.24206,0.83863,0.81772,0.8612,0.63332,0.99556,0.78929,1.36684,0.00028475,0.00028475,0.00028475
80,7694.91,0.89628,0.83434,1.2373,0.87008,0.80757,0.84873,0.63986,0.98208,0.76782,1.34233,0.000272375,0.000272375,0.000272375
81,7790.13,0.88318,0.82688,1.23438,0.897,0.80658,0.86043,0.64407,0.98052,0.75838,1.35006,0.00026,0.00026,0.00026
82,7883.57,0.88167,0.82616,1.22287,0.87956,0.81188,0.85949,0.64237,0.99418,0.77169,1.35795,0.000247625,0.000247625,0.000247625
83,7978,0.87977,0.82474,1.23137,0.89719,0.79967,0.86256,0.64254,0.97943,0.75763,1.34546,0.00023525,0.00023525,0.00023525
84,8070.63,0.87468,0.80666,1.22354,0.87925,0.80527,0.86137,0.64866,0.96917,0.76251,1.34562,0.000222875,0.000222875,0.000222875
85,8165.75,0.87465,0.80921,1.21887,0.88342,0.79978,0.86144,0.64649,0.9637,0.7562,1.34134,0.0002105,0.0002105,0.0002105
86,8259.76,0.87128,0.79969,1.21997,0.88484,0.79878,0.86227,0.64696,0.9689,0.76567,1.33856,0.000198125,0.000198125,0.000198125
87,8354.59,0.87461,0.80708,1.21639,0.87991,0.78958,0.8623,0.64738,0.96609,0.75902,1.3292,0.00018575,0.00018575,0.00018575
88,8448,0.86429,0.79252,1.21592,0.89212,0.79365,0.86696,0.64905,0.96052,0.7479,1.33229,0.000173375,0.000173375,0.000173375
89,8542.68,0.85729,0.79077,1.20983,0.87438,0.81472,0.8637,0.64676,0.96539,0.75321,1.33721,0.000161,0.000161,0.000161
90,8635.07,0.85089,0.77408,1.20197,0.86036,0.81855,0.85825,0.64799,0.96403,0.75383,1.34055,0.000148625,0.000148625,0.000148625
91,8724.66,0.73392,0.5632,1.16166,0.85516,0.79399,0.85004,0.64464,0.96791,0.75628,1.34848,0.00013625,0.00013625,0.00013625
92,8815.56,0.72117,0.5417,1.1534,0.85996,0.80434,0.85667,0.64809,0.97704,0.75059,1.35947,0.000123875,0.000123875,0.000123875
93,8906.9,0.71243,0.52132,1.14024,0.8732,0.8089,0.86283,0.64896,0.96847,0.74308,1.35086,0.0001115,0.0001115,0.0001115
94,8996.17,0.70087,0.51461,1.13096,0.89146,0.79599,0.85937,0.64945,0.97414,0.74582,1.35412,9.9125e-05,9.9125e-05,9.9125e-05
95,9085.42,0.70271,0.50723,1.13082,0.8785,0.80311,0.86613,0.64757,0.97076,0.74273,1.35347,8.675e-05,8.675e-05,8.675e-05
96,9175.25,0.69775,0.50584,1.1285,0.87329,0.80414,0.86352,0.64635,0.96501,0.74354,1.35068,7.4375e-05,7.4375e-05,7.4375e-05
97,9263.98,0.68624,0.50199,1.11879,0.88002,0.80719,0.86402,0.65023,0.97205,0.73665,1.35716,6.2e-05,6.2e-05,6.2e-05
98,9353.16,0.68123,0.49009,1.11732,0.88714,0.80809,0.86816,0.65409,0.96657,0.72938,1.35652,4.9625e-05,4.9625e-05,4.9625e-05
99,9443.3,0.67724,0.49808,1.12438,0.88727,0.81284,0.86809,0.65549,0.96768,0.72047,1.35957,3.725e-05,3.725e-05,3.725e-05
100,9533.16,0.67718,0.48789,1.1175,0.88441,0.80906,0.86608,0.65494,0.9643,0.72142,1.35465,2.4875e-05,2.4875e-05,2.4875e-05
